 Occurs     Accum   Support    Confid      Lift                                                                         Sequence
      148       507 0.6851852 0.7254902 0.7644189                                                                         (7)->(5) 
       72        72 0.3333333 0.4864865 0.5125906                                                                    (7)->(5)->(6) 
       71        71 0.3287037 0.4797297 0.5079491                                                                    (7)->(5)->(7) 
       75        75 0.3472222 0.5067568 0.5287897                                                                    (7)->(5)->(8) 
       76        76 0.3518519 0.5135135 0.5281853                                                                    (7)->(5)->(9) 
      151       596 0.6990741 0.7401961 0.7799139                                                                         (7)->(6) 
       69        69 0.3194444 0.4569536 0.4814731                                                                    (7)->(6)->(5) 
       72        72 0.3333333 0.4768212 0.4975525                                                                    (7)->(6)->(8) 
       73        73 0.3379630 0.4834437 0.4972564                                                                    (7)->(6)->(9) 
      142       596 0.6574074 0.6960784 0.7370242                                                                         (7)->(7) 
       74        74 0.3425926 0.5211268 0.5490897                                                                    (7)->(7)->(6) 
       72        72 0.3333333 0.5070423 0.5368683                                                                    (7)->(7)->(7) 
       71        71 0.3287037 0.5000000 0.5217391                                                                    (7)->(7)->(8) 
       79        79 0.3657407 0.5563380 0.5722334                                                                    (7)->(7)->(9) 
      143       569 0.6620370 0.7009804 0.7314578                                                                         (7)->(8) 
       67        67 0.3101852 0.4685315 0.4936722                                                                    (7)->(8)->(6) 
       67        67 0.3101852 0.4685315 0.4889024                                                                    (7)->(8)->(8) 
       75        75 0.3472222 0.5244755 0.5394605                                                                    (7)->(8)->(9) 
      156       634 0.7222222 0.7647059 0.7865546                                                                         (7)->(9) 
       67        67 0.3101852 0.4294872 0.4661770                                                                    (7)->(9)->(4) 
       67        67 0.3101852 0.4294872 0.4525328                                                                    (7)->(9)->(5) 
       73        73 0.3379630 0.4679487 0.4930582                                                                    (7)->(9)->(6) 
       69        69 0.3194444 0.4423077 0.4683258                                                                    (7)->(9)->(7) 
       76        76 0.3518519 0.4871795 0.5083612                                                                    (7)->(9)->(8) 
       77        77 0.3564815 0.4935897 0.5076923                                                                    (7)->(9)->(9) 
      207      4021 0.9583333       N/A       N/A                                                                              (8) 
      123       123 0.5694444 0.5942029 0.7170270                                                                        (8)->(10) 
       67        67 0.3101852 0.5447154 0.5602787                                                                   (8)->(10)->(9) 
      109       109 0.5046296 0.5265700 0.7064542                                                                         (8)->(3) 
      147       508 0.6805556 0.7101449 0.7708106                                                                         (8)->(4) 
       69        69 0.3194444 0.4693878 0.5094862                                                                    (8)->(4)->(4) 
       72        72 0.3333333 0.4897959 0.5160777                                                                    (8)->(4)->(5) 
       78        78 0.3611111 0.5306122 0.5590841                                                                    (8)->(4)->(6) 
       71        71 0.3287037 0.4829932 0.5114046                                                                    (8)->(4)->(7) 
       70        70 0.3240741 0.4761905 0.4968944                                                                    (8)->(4)->(8) 
       80        80 0.3703704 0.5442177 0.5597668                                                                    (8)->(4)->(9) 
      154       517 0.7129630 0.7439614 0.7838812                                                                         (8)->(5) 
       73        73 0.3379630 0.4740260 0.5145207                                                                    (8)->(5)->(4) 
       76        76 0.3518519 0.4935065 0.5199873                                                                    (8)->(5)->(5) 
       80        80 0.3703704 0.5194805 0.5473551                                                                    (8)->(5)->(6) 
       83        83 0.3842593 0.5389610 0.5706646                                                                    (8)->(5)->(7) 
       78        78 0.3611111 0.5064935 0.5285150                                                                    (8)->(5)->(8) 
       82        82 0.3796296 0.5324675 0.5476809                                                                    (8)->(5)->(9) 
      161       620 0.7453704 0.7777778 0.8195122                                                                         (8)->(6) 
       67        67 0.3101852 0.4161491 0.4516995                                                                    (8)->(6)->(4) 
       77        77 0.3564815 0.4782609 0.5039236                                                                    (8)->(6)->(5) 
       68        68 0.3148148 0.4223602 0.4450235                                                                    (8)->(6)->(6) 
       71        71 0.3287037 0.4409938 0.4669346                                                                    (8)->(6)->(7) 
       76        76 0.3518519 0.4720497 0.4925736                                                                    (8)->(6)->(8) 
       78        78 0.3611111 0.4844720 0.4983141                                                                    (8)->(6)->(9) 
      150       529 0.6944444 0.7246377 0.7672634                                                                         (8)->(7) 
       72        72 0.3333333 0.4800000 0.5057561                                                                    (8)->(7)->(5) 
       72        72 0.3333333 0.4800000 0.5057561                                                                    (8)->(7)->(6) 
       73        73 0.3379630 0.4866667 0.5152941                                                                    (8)->(7)->(7) 
       66        66 0.3055556 0.4400000 0.4591304                                                                    (8)->(7)->(8) 
       79        79 0.3657407 0.5266667 0.5417143                                                                    (8)->(7)->(9) 
      150       592 0.6944444 0.7246377 0.7561437                                                                         (8)->(8) 
       72        72 0.3333333 0.4800000 0.5210050                                                                    (8)->(8)->(4) 
       76        76 0.3518519 0.5066667 0.5338537                                                                    (8)->(8)->(5) 
       79        79 0.3657407 0.5266667 0.5549268                                                                    (8)->(8)->(6) 
       78        78 0.3611111 0.5200000 0.5505882                                                                    (8)->(8)->(7) 
       80        80 0.3703704 0.5333333 0.5565217                                                                    (8)->(8)->(8) 
       86        86 0.3981481 0.5733333 0.5897143                                                                    (8)->(8)->(9) 
      158       624 0.7314815 0.7632850 0.7850932                                                                         (8)->(9) 
       69        69 0.3194444 0.4367089 0.4740156                                                                    (8)->(9)->(4) 
       81        81 0.3750000 0.5126582 0.5401667                                                                    (8)->(9)->(5) 
       78        78 0.3611111 0.4936709 0.5201605                                                                    (8)->(9)->(6) 
       77        77 0.3564815 0.4873418 0.5160089                                                                    (8)->(9)->(7) 
       77        77 0.3564815 0.4873418 0.5085305                                                                    (8)->(9)->(8) 
       82        82 0.3796296 0.5189873 0.5338156                                                                    (8)->(9)->(9) 
      210      4587 0.9722222       N/A       N/A                                                                              (9) 
      127       127 0.5879630 0.6047619 0.7297686                                                                        (9)->(10) 
       65        65 0.3009259 0.5118110 0.5392741                                                                   (9)->(10)->(6) 
       65        65 0.3009259 0.5118110 0.5419176                                                                   (9)->(10)->(7) 
       76        76 0.3518519 0.5984252 0.6155231                                                                   (9)->(10)->(9) 
      119       119 0.5509259 0.5666667 0.7602484                                                                         (9)->(3) 
      152       572 0.7037037 0.7238095 0.7856425                                                                         (9)->(4) 
       74        74 0.3425926 0.4868421 0.5284316                                                                    (9)->(4)->(4) 
       68        68 0.3148148 0.4473684 0.4713736                                                                    (9)->(4)->(5) 
       84        84 0.3888889 0.5526316 0.5822850                                                                    (9)->(4)->(6) 
       78        78 0.3611111 0.5131579 0.5433437                                                                    (9)->(4)->(7) 
       77        77 0.3564815 0.5065789 0.5286041                                                                    (9)->(4)->(8) 
       83        83 0.3842593 0.5460526 0.5616541                                                                    (9)->(4)->(9) 
      157       604 0.7268519 0.7476190 0.7877352                                                                         (9)->(5) 
       78        78 0.3611111 0.4968153 0.5392568                                                                    (9)->(5)->(4) 
       78        78 0.3611111 0.4968153 0.5234737                                                                    (9)->(5)->(5) 
       88        88 0.4074074 0.5605096 0.5905857                                                                    (9)->(5)->(6) 
       86        86 0.3981481 0.5477707 0.5799925                                                                    (9)->(5)->(7) 
       81        81 0.3750000 0.5159236 0.5383550                                                                    (9)->(5)->(8) 
       86        86 0.3981481 0.5477707 0.5634213                                                                    (9)->(5)->(9) 
      158       624 0.7314815 0.7523810 0.7927526                                                                         (9)->(6) 
       71        71 0.3287037 0.4493671 0.4877552                                                                    (9)->(6)->(4) 
       69        69 0.3194444 0.4367089 0.4601420                                                                    (9)->(6)->(5) 
       75        75 0.3472222 0.4746835 0.5001544                                                                    (9)->(6)->(6) 
       72        72 0.3333333 0.4556962 0.4825019                                                                    (9)->(6)->(7) 
       76        76 0.3518519 0.4810127 0.5019263                                                                    (9)->(6)->(8) 
       75        75 0.3472222 0.4746835 0.4882459                                                                    (9)->(6)->(9) 
